t,v
8.899999999999984368e+00,1.449999999999999956e+00
8.999999999999984013e+00,1.439999999999999947e+00
9.099999999999983658e+00,1.399999999999999911e+00
9.199999999999983302e+00,1.389999999999999902e+00
9.299999999999982947e+00,1.510000000000000009e+00
9.399999999999982592e+00,1.510000000000000009e+00
9.499999999999982236e+00,1.530000000000000027e+00
9.599999999999981881e+00,1.500000000000000000e+00
9.699999999999981526e+00,1.639999999999999902e+00
9.799999999999981171e+00,1.520000000000000018e+00
9.899999999999980815e+00,1.600000000000000089e+00
9.999999999999980460e+00,1.590000000000000080e+00
1.009999999999998010e+01,1.429999999999999938e+00
1.019999999999997975e+01,1.500000000000000000e+00
1.029999999999997939e+01,1.469999999999999973e+00
1.039999999999997904e+01,1.469999999999999973e+00
1.049999999999997868e+01,1.350000000000000089e+00
1.059999999999997833e+01,1.330000000000000071e+00
1.069999999999997797e+01,1.239999999999999991e+00
1.079999999999997762e+01,1.189999999999999947e+00
1.089999999999997726e+01,1.280000000000000027e+00
1.099999999999997691e+01,1.260000000000000009e+00
1.109999999999997655e+01,1.300000000000000044e+00
1.119999999999997620e+01,1.399999999999999911e+00
1.129999999999997584e+01,1.389999999999999902e+00
1.139999999999997549e+01,1.479999999999999982e+00
1.149999999999997513e+01,1.399999999999999911e+00
1.159999999999997478e+01,1.280000000000000027e+00
1.169999999999997442e+01,1.260000000000000009e+00
1.179999999999997407e+01,1.260000000000000009e+00
1.189999999999997371e+01,1.219999999999999973e+00
1.199999999999997335e+01,1.209999999999999964e+00
1.209999999999997300e+01,1.179999999999999938e+00
1.219999999999997264e+01,1.250000000000000000e+00
1.229999999999997229e+01,1.179999999999999938e+00
1.239999999999997193e+01,1.169999999999999929e+00
1.249999999999997158e+01,1.179999999999999938e+00
1.259999999999997122e+01,1.129999999999999893e+00
1.269999999999997087e+01,1.129999999999999893e+00
1.279999999999997051e+01,1.080000000000000071e+00
1.289999999999997016e+01,1.080000000000000071e+00
1.299999999999996980e+01,1.090000000000000080e+00
1.309999999999996945e+01,1.010000000000000009e+00
1.319999999999996909e+01,9.699999999999999734e-01
1.329999999999996874e+01,9.799999999999999822e-01
1.339999999999996838e+01,9.499999999999999556e-01
1.349999999999996803e+01,9.300000000000000488e-01
1.359999999999996767e+01,9.100000000000000311e-01
1.369999999999996732e+01,9.300000000000000488e-01
1.379999999999996696e+01,1.080000000000000071e+00
1.389999999999996660e+01,1.010000000000000009e+00
